"office","chamber","party","state","bioguide"
"Altmire, Rep. Jason","House","Democrat","PA","A000362"
"Welch, Rep. Peter","House","Democrat","VT","W000800"
"Klobuchar, Sen. Amy","Senate","Democrat","MN","K000367"
"McCaskill, Sen. Claire","Senate","Democrat","MO","M001170"
"Tester, Sen. Jon","Senate","Democrat","MT","T000464"
"Casey, Sen. Bob","Senate","Democrat","PA","C001070"
"Whitehouse, Sen. Sheldon","Senate","Democrat","RI","W000802"
"Corker, Sen. Bob","Senate","Republican","TN","C001071"
"Webb, Sen. Jim","Senate","Democrat","VA","W000803"
"Barrasso, Sen. John A.","Senate","Republican","WY","B001261"
"Richardson, Rep. Laura","House","Democrat","CA","R000581"
"Tsongas, Rep. Niki","House","Democrat","MA","T000465"
"Wittman, Rep. Rob","House","Republican","VA","W000804"
"Latta, Rep. Bob","House","Republican","OH","L000566"
"Speier, Rep. Jackie","House","Democrat","CA","S001175"
"Scalise, Rep. Steve","House","Republican","LA","S001176"
"Austria, Rep. Steve","House","Republican","OH","A000365"
"Guthrie, Rep. Brett","House","Republican","KY","G000558"
"Harper, Rep. Gregg","House","Republican","MS","H001045"
"Heinrich, Rep. Martin","House","Democrat","NM","H001046"
"Himes, Rep. Jim","House","Democrat","CT","H001047"
"Hunter, Rep. Duncan Duane","House","Republican","CA","H001048"
"Jenkins, Rep. Lynn M.","House","Republican","KS","J000290"
"Kissell, Rep. Larry","House","Democrat","NC","K000369"
"Lance, Rep. Leonard","House","Republican","NJ","L000567"
"Luetkemeyer, Rep. Blaine","House","Republican","MO","L000569"
"Guti+rrez, Rep. Luis","House",,,
"Lummis, Rep. Cynthia Marie","House","Republican","WY","L000571"
"McClintock, Rep. Tom","House","Republican","CA","M001177"
"Olson, Rep. Pete","House","Republican","TX","O000168"
"Paulsen, Rep. Erik","House","Republican","MN","P000594"
"Peters, Rep. Gary C.","House","Democrat","MI","P000595"
"Pierluisi, Rep. Pedro","House","Democrat","PR","P000596"
"Pingree, Rep. Chellie","House","Democrat","ME","P000597"
"Polis, Rep. Jared","House","Democrat","CO","P000598"
"Posey, Rep. Bill","House","Republican","FL","P000599"
"Roe, Rep. Phil","House","Republican","TN","R000582"
"Rooney, Rep. Tom","House","Republican","FL","R000583"
"Sablan, Rep. Kilili","House","Democrat","MP","S001177"
"Schock, Rep. Aaron","House","Republican","IL","S001179"
"Schrader, Rep. Kurt","House","Democrat","OR","S001180"
"Tonko, Rep. Paul","House","Democrat","NY","T000469"
"Johanns, Sen. Mike","Senate","Republican","NE","J000291"
